No. of observation,"Main Scale Reading
           a (cm)","Vernier Scale Reading
           b (cm)","V= bx0.005
      (cm)","Diameter =a+v
         (cm)","Radius = d/2
       (cm)",Average r (cm)
1,0.3,14,0.07,14.3,7.15,7.316666667
2,0.3,15,0.075,15.3,7.65,7.316666667
3,0.3,14,0.07,14.3,7.15,7.316666667
