No. of observation,"Main Scale Reading
           a (cm)","Vernier Scale Reading
           b (cm)","V= bx0.005
      (cm)","Diameter =a+v
         (cm)","Radius = d/2
       (cm)",Average Radius 
1,0.3,10,0.05,0.35,0.175,0.1816666667
2,0.3,10,0.05,0.35,0.175,0.1816666667
3,0.3,18,0.09,0.39,0.195,0.1816666667
